institucion,nivel,n,skewness,kurtosis,chi2_sktest,p_sktest
"Gobierno",individual,24405,   0.6403,   2.7459,        .,        .
"Gobierno",ano_re,13,  -0.8583,   3.9095,    4.950,   0.0841
"Parlamento",individual,28269,   1.3087,   4.4059,        .,        .
"Parlamento",ano_re,15,   0.2437,   3.2527,    1.297,   0.5228
"Partidos",individual,26289,   1.4573,   4.8983,        .,        .
"Partidos",ano_re,14,   0.7235,   3.4219,    3.676,   0.1591
"FF.AA.",individual,26337,   0.0793,   2.0873,        .,        .
"FF.AA.",ano_re,14,  -0.4035,   2.3539,    0.694,   0.7068
"Iglesia",individual,28351,   0.4485,   2.2399,        .,        .
"Iglesia",ano_re,15,  -1.7534,   6.2221,   12.367,   0.0021
