especificacion,institucion,bloque,tipo,stat_type,stat,df,df_r,p
binaria,Gobierno,1 (<=1949),dentro-bloque,chi2,    0.695,  1,     .,   0.4046
binaria,Gobierno,2 (1950-1964),dentro-bloque,chi2,    0.413,  2,     .,   0.8135
binaria,Gobierno,3 (1965-1979),dentro-bloque,chi2,    3.269,  2,     .,   0.1951
binaria,Gobierno,4 (1980-1994),dentro-bloque,chi2,    3.181,  2,     .,   0.2038
binaria,Gobierno,5 (1995+),dentro-bloque,chi2,    0.807,  2,     .,   0.6680
binaria,Gobierno,frontera 1-2 (1949/1950),frontera,chi2,    1.999,  1,     .,   0.1574
binaria,Gobierno,frontera 2-3 (1964/1965),frontera,chi2,    1.321,  1,     .,   0.2505
binaria,Gobierno,frontera 3-4 (1979/1980),frontera,chi2,    1.948,  1,     .,   0.1628
binaria,Gobierno,frontera 4-5 (1994/1995),frontera,chi2,    4.835,  1,     .,   0.0279
binaria,Parlamento,1 (<=1949),dentro-bloque,chi2,    0.474,  1,     .,   0.4911
binaria,Parlamento,2 (1950-1964),dentro-bloque,chi2,    5.721,  2,     .,   0.0572
binaria,Parlamento,3 (1965-1979),dentro-bloque,chi2,    6.136,  2,     .,   0.0465
binaria,Parlamento,4 (1980-1994),dentro-bloque,chi2,    2.702,  2,     .,   0.2590
binaria,Parlamento,5 (1995+),dentro-bloque,chi2,    3.962,  2,     .,   0.1379
binaria,Parlamento,frontera 1-2 (1949/1950),frontera,chi2,    0.218,  1,     .,   0.6403
binaria,Parlamento,frontera 2-3 (1964/1965),frontera,chi2,    0.490,  1,     .,   0.4841
binaria,Parlamento,frontera 3-4 (1979/1980),frontera,chi2,    1.279,  1,     .,   0.2581
binaria,Parlamento,frontera 4-5 (1994/1995),frontera,chi2,    0.117,  1,     .,   0.7324
binaria,Partidos,1 (<=1949),dentro-bloque,chi2,    0.073,  1,     .,   0.7864
binaria,Partidos,2 (1950-1964),dentro-bloque,chi2,    1.358,  2,     .,   0.5071
binaria,Partidos,3 (1965-1979),dentro-bloque,chi2,    4.072,  2,     .,   0.1305
binaria,Partidos,4 (1980-1994),dentro-bloque,chi2,    0.293,  2,     .,   0.8638
binaria,Partidos,5 (1995+),dentro-bloque,chi2,    1.304,  2,     .,   0.5210
binaria,Partidos,frontera 1-2 (1949/1950),frontera,chi2,    0.471,  1,     .,   0.4923
binaria,Partidos,frontera 2-3 (1964/1965),frontera,chi2,    1.312,  1,     .,   0.2520
binaria,Partidos,frontera 3-4 (1979/1980),frontera,chi2,    0.269,  1,     .,   0.6040
binaria,Partidos,frontera 4-5 (1994/1995),frontera,chi2,    2.343,  1,     .,   0.1258
binaria,FF.AA.,1 (<=1949),dentro-bloque,chi2,    1.057,  1,     .,   0.3038
binaria,FF.AA.,2 (1950-1964),dentro-bloque,chi2,    0.331,  2,     .,   0.8476
binaria,FF.AA.,3 (1965-1979),dentro-bloque,chi2,    5.157,  2,     .,   0.0759
binaria,FF.AA.,4 (1980-1994),dentro-bloque,chi2,    0.435,  2,     .,   0.8045
binaria,FF.AA.,5 (1995+),dentro-bloque,chi2,    0.351,  2,     .,   0.8392
binaria,FF.AA.,frontera 1-2 (1949/1950),frontera,chi2,    5.439,  1,     .,   0.0197
binaria,FF.AA.,frontera 2-3 (1964/1965),frontera,chi2,    0.051,  1,     .,   0.8216
binaria,FF.AA.,frontera 3-4 (1979/1980),frontera,chi2,    0.550,  1,     .,   0.4581
