institucion,frontera,chi2,df,p
"Gobierno","≤1944 / 1945-49",    7.708,  1,   0.0055
"Gobierno","1945-49 / 1950-54",    0.048,  1,   0.8274
"Gobierno","1950-54 / 1955-59",   14.385,  1,   0.0001
"Gobierno","1955-59 / 1960-64",    2.285,  1,   0.1306
"Gobierno","1960-64 / 1965-69",    0.759,  1,   0.3835
"Gobierno","1965-69 / 1970-74",    0.542,  1,   0.4615
"Gobierno","1970-74 / 1975-79",    8.613,  1,   0.0033
"Gobierno","1975-79 / 1980-84",    0.968,  1,   0.3251
"Gobierno","1980-84 / 1985-89",    8.666,  1,   0.0032
"Gobierno","1985-89 / 1990-94",    0.057,  1,   0.8119
"Gobierno","1990-94 / 1995-99",   10.837,  1,   0.0010
"Gobierno","1995-99 / 2000-04",   11.928,  1,   0.0006
"Gobierno","2000-04 / 2005-07",    0.060,  1,   0.8058
"Parlamento","≤1944 / 1945-49",    5.474,  1,   0.0193
"Parlamento","1945-49 / 1950-54",    0.676,  1,   0.4111
"Parlamento","1950-54 / 1955-59",    8.122,  1,   0.0044
"Parlamento","1955-59 / 1960-64",    1.699,  1,   0.1925
"Parlamento","1960-64 / 1965-69",    0.096,  1,   0.7563
"Parlamento","1965-69 / 1970-74",    3.108,  1,   0.0779
"Parlamento","1970-74 / 1975-79",   17.499,  1,   0.0000
"Parlamento","1975-79 / 1980-84",    0.452,  1,   0.5012
"Parlamento","1980-84 / 1985-89",    8.388,  1,   0.0038
"Parlamento","1985-89 / 1990-94",    0.449,  1,   0.5027
"Parlamento","1990-94 / 1995-99",   13.692,  1,   0.0002
"Parlamento","1995-99 / 2000-04",   11.708,  1,   0.0006
"Parlamento","2000-04 / 2005-07",   10.926,  1,   0.0009
"Partidos","≤1944 / 1945-49",    2.266,  1,   0.1322
"Partidos","1945-49 / 1950-54",    3.952,  1,   0.0468
"Partidos","1950-54 / 1955-59",    1.957,  1,   0.1618
"Partidos","1955-59 / 1960-64",    2.221,  1,   0.1361
"Partidos","1960-64 / 1965-69",    0.515,  1,   0.4728
"Partidos","1965-69 / 1970-74",    3.848,  1,   0.0498
"Partidos","1970-74 / 1975-79",   16.593,  1,   0.0000
"Partidos","1975-79 / 1980-84",    0.000,  1,   0.9992
"Partidos","1980-84 / 1985-89",    3.341,  1,   0.0676
"Partidos","1985-89 / 1990-94",    0.162,  1,   0.6874
"Partidos","1990-94 / 1995-99",   21.184,  1,   0.0000
"Partidos","1995-99 / 2000-04",   16.357,  1,   0.0001
"Partidos","2000-04 / 2005-07",    2.964,  1,   0.0851
"FF.AA.","≤1944 / 1945-49",    1.156,  1,   0.2823
"FF.AA.","1945-49 / 1950-54",    2.948,  1,   0.0860
"FF.AA.","1950-54 / 1955-59",    0.012,  1,   0.9130
"FF.AA.","1955-59 / 1960-64",    0.805,  1,   0.3696
"FF.AA.","1960-64 / 1965-69",    0.019,  1,   0.8914
"FF.AA.","1965-69 / 1970-74",    6.964,  1,   0.0083
"FF.AA.","1970-74 / 1975-79",    2.762,  1,   0.0965
"FF.AA.","1975-79 / 1980-84",    2.205,  1,   0.1376
"FF.AA.","1980-84 / 1985-89",    0.008,  1,   0.9304
"FF.AA.","1985-89 / 1990-94",    0.080,  1,   0.7778
"FF.AA.","1990-94 / 1995-99",   27.846,  1,   0.0000
"FF.AA.","1995-99 / 2000-04",    1.539,  1,   0.2147
"FF.AA.","2000-04 / 2005-07",    0.411,  1,   0.5217
"Iglesia","≤1944 / 1945-49",    3.042,  1,   0.0811
"Iglesia","1945-49 / 1950-54",    0.081,  1,   0.7754
"Iglesia","1950-54 / 1955-59",    0.045,  1,   0.8318
"Iglesia","1955-59 / 1960-64",    0.199,  1,   0.6557
"Iglesia","1960-64 / 1965-69",    0.002,  1,   0.9653
"Iglesia","1965-69 / 1970-74",    0.435,  1,   0.5097
"Iglesia","1970-74 / 1975-79",    5.310,  1,   0.0212
"Iglesia","1975-79 / 1980-84",    0.020,  1,   0.8887
"Iglesia","1980-84 / 1985-89",    0.398,  1,   0.5280
"Iglesia","1985-89 / 1990-94",    0.250,  1,   0.6170
"Iglesia","1990-94 / 1995-99",    1.780,  1,   0.1821
"Iglesia","1995-99 / 2000-04",    2.770,  1,   0.0961
"Iglesia","2000-04 / 2005-07",    0.145,  1,   0.7033
