institucion,year,n
"Gobierno",2006,1933
"Gobierno",2007,0
"Gobierno",2008,0
"Gobierno",2009,0
"Gobierno",2010,1963
"Gobierno",2011,1954
"Gobierno",2012,1983
"Gobierno",2013,0
"Gobierno",2014,0
"Gobierno",2016,1987
"Gobierno",2017,1989
"Gobierno",2018,1994
"Gobierno",2019,2024
"Gobierno",2021,1981
"Gobierno",2022,1868
"Gobierno",2023,1553
"Gobierno",2024,1605
"Gobierno",2025,1587
"Parlamento",2006,1927
"Parlamento",2007,0
"Parlamento",2008,0
"Parlamento",2009,0
"Parlamento",2010,1962
"Parlamento",2011,1943
"Parlamento",2012,1979
"Parlamento",2013,1951
"Parlamento",2014,1992
"Parlamento",2016,1991
"Parlamento",2017,1986
"Parlamento",2018,1999
"Parlamento",2019,2013
"Parlamento",2021,1974
"Parlamento",2022,1858
"Parlamento",2023,1545
"Parlamento",2024,1600
"Parlamento",2025,1572
"Partidos",2006,1919
"Partidos",2007,0
"Partidos",2008,0
"Partidos",2009,0
"Partidos",2010,1962
"Partidos",2011,1942
"Partidos",2012,1975
"Partidos",2013,0
"Partidos",2014,1984
"Partidos",2016,1991
"Partidos",2017,1981
"Partidos",2018,1994
"Partidos",2019,2008
"Partidos",2021,1975
"Partidos",2022,1858
"Partidos",2023,1545
"Partidos",2024,1596
"Partidos",2025,1576
"FF.AA.",2006,1937
"FF.AA.",2007,0
"FF.AA.",2008,0
"FF.AA.",2009,0
"FF.AA.",2010,1955
"FF.AA.",2011,1952
"FF.AA.",2012,1983
"FF.AA.",2013,0
"FF.AA.",2014,1983
"FF.AA.",2016,1986
"FF.AA.",2017,1987
"FF.AA.",2018,1998
"FF.AA.",2019,2010
"FF.AA.",2021,1973
"FF.AA.",2022,1859
"FF.AA.",2023,1539
"FF.AA.",2024,1605
"FF.AA.",2025,1587
"Iglesia",2006,1943
"Iglesia",2007,0
"Iglesia",2008,0
"Iglesia",2009,0
"Iglesia",2010,1971
"Iglesia",2011,1951
"Iglesia",2012,1977
"Iglesia",2013,1963
"Iglesia",2014,1993
"Iglesia",2016,1987
"Iglesia",2017,1984
"Iglesia",2018,2006
"Iglesia",2019,2018
"Iglesia",2021,1975
"Iglesia",2022,1864
"Iglesia",2023,1551
"Iglesia",2024,1608
"Iglesia",2025,1584
