variable,n_total,n_olas_con_datos,n_olas_total,min,max,n_categorias
"Confianza en Gobierno",24421,13,18,     1.00,     5.00,5
"Confianza en Parlamento",28292,15,18,     1.00,     5.00,5
"Confianza en Partidos",26306,14,18,     1.00,     5.00,5
"Confianza en FF.AA.",26354,14,18,     1.00,     5.00,5
"Confianza en Iglesia",28375,15,18,     1.00,     5.00,5
"Edad",34476,18,18,    18.00,    85.00,68
"Mujer (sexo)",34476,18,18,     0.00,     1.00,2
"Nivel educativo (educ4)",34448,18,18,     1.00,     4.00,4
"Nivel socioeconomico (nse4)",34443,18,18,     1.00,     4.00,4
"Cohorte quinquenal (cohort5)",34476,18,18,  1944.00,  2005.00,14
