especificacion,institucion,ll_full,ll_reducido,chi2,df,p,wald_chi2,wald_df,wald_p
binaria,Gobierno,   -8510.266,   -8533.542,   46.553,  1,   0.0000, 3255.560, 12,   0.0000
binaria,Parlamento,   -3375.671,   -3383.989,   16.636,  3,   0.0008,   42.236, 13,   0.0001
binaria,Partidos,   -3078.113,   -3089.507,   22.787,  2,   0.0000,  996.575, 13,   0.0000
binaria,FF.AA.,  -15711.573,  -15731.103,   39.062,  2,   0.0000,   74.654, 13,   0.0000
binaria,Iglesia,  -14188.205,  -14200.031,   23.653,  3,   0.0000,  504.920, 13,   0.0000
zscore,Gobierno,  -34027.869,  -34127.485,  199.234, 13,   0.0000, 1699.984, 12,   0.0000
zscore,Parlamento,  -39831.505,  -39981.697,  300.385, 13,   0.0000, 4593.558, 13,   0.0000
zscore,Partidos,  -36850.139,  -36962.937,  225.595, 13,   0.0000,  554.597, 13,   0.0000
zscore,FF.AA.,  -37414.597,  -37449.330,   69.466, 13,   0.0000,  207.308, 13,   0.0000
zscore,Iglesia,  -39807.072,  -39825.276,   36.408, 13,   0.0005,   71.500, 13,   0.0000
ordinal,Gobierno,  -32946.067,  -33059.904,  227.673,  1,   0.0000, 1300.627, 12,   0.0000
ordinal,Parlamento,  -28981.926,  -29144.790,  325.728,  0,        ., 2421.132, 13,   0.0000
ordinal,Partidos,  -25872.497,  -25986.023,  227.051,  1,   0.0000,53880.307, 13,   0.0000
ordinal,FF.AA.,  -40398.232,  -40435.740,   75.016,  0,        .,  465.299, 13,   0.0000
ordinal,Iglesia,  -41802.193,  -41826.924,   49.462,  1,   0.0000,  966.548, 13,   0.0000
