especificacion,esquema,institucion,bloque,tipo,stat_type,stat,df,p
binaria,teorica,Gobierno,1 (<=1949),dentro-bloque,chi2,    3.652,  1,   0.0560
binaria,teorica,Gobierno,2 (1950-1964),dentro-bloque,chi2,    3.121,  2,   0.2100
binaria,teorica,Gobierno,3 (1965-1979),dentro-bloque,chi2,    1.179,  2,   0.5546
binaria,teorica,Gobierno,4 (1980-1994),dentro-bloque,chi2,    2.729,  2,   0.2555
binaria,teorica,Gobierno,5 (1995+),dentro-bloque,chi2,    1.161,  2,   0.5597
binaria,teorica,Gobierno,frontera 1-2 (1949/1950),frontera,chi2,    3.610,  1,   0.0574
binaria,teorica,Gobierno,frontera 2-3 (1964/1965),frontera,chi2,    1.026,  1,   0.3111
binaria,teorica,Gobierno,frontera 3-4 (1979/1980),frontera,chi2,    4.203,  1,   0.0404
binaria,teorica,Gobierno,frontera 4-5 (1994/1995),frontera,chi2,    4.804,  1,   0.0284
binaria,importada,Gobierno,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.125,  1,   0.7237
binaria,importada,Gobierno,frontera Boomer/X (1964/1965),frontera,chi2,    0.860,  1,   0.3536
binaria,importada,Gobierno,frontera X/Millennial (1980/1981),frontera,chi2,    2.135,  1,   0.1440
binaria,importada,Gobierno,frontera Millennial/Z (1996/1997),frontera,chi2,    0.886,  1,   0.3465
binaria,balcells,Gobierno,frontera plebiscito 1988 (1970/1971),frontera,chi2,    0.739,  1,   0.3899
binaria,balcells,Gobierno,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    1.537,  1,   0.2151
binaria,teorica,Parlamento,1 (<=1949),dentro-bloque,chi2,    0.120,  1,   0.7286
binaria,teorica,Parlamento,2 (1950-1964),dentro-bloque,chi2,    4.158,  2,   0.1250
binaria,teorica,Parlamento,3 (1965-1979),dentro-bloque,chi2,    1.392,  2,   0.4985
binaria,teorica,Parlamento,4 (1980-1994),dentro-bloque,chi2,    1.059,  2,   0.5889
binaria,teorica,Parlamento,5 (1995+),dentro-bloque,chi2,    4.637,  2,   0.0984
binaria,teorica,Parlamento,frontera 1-2 (1949/1950),frontera,chi2,    0.024,  1,   0.8769
binaria,teorica,Parlamento,frontera 2-3 (1964/1965),frontera,chi2,    0.000,  1,   0.9922
binaria,teorica,Parlamento,frontera 3-4 (1979/1980),frontera,chi2,    0.081,  1,   0.7754
binaria,teorica,Parlamento,frontera 4-5 (1994/1995),frontera,chi2,    0.061,  1,   0.8046
binaria,importada,Parlamento,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    6.102,  1,   0.0135
binaria,importada,Parlamento,frontera Boomer/X (1964/1965),frontera,chi2,    0.158,  1,   0.6912
binaria,importada,Parlamento,frontera X/Millennial (1980/1981),frontera,chi2,    0.426,  1,   0.5141
binaria,importada,Parlamento,frontera Millennial/Z (1996/1997),frontera,chi2,    2.785,  1,   0.0951
