institucion,frontera,chi2,df,p
"Gobierno","≤1944 / 1945-49",    6.945,  1,   0.0084
"Gobierno","1945-49 / 1950-54",    0.132,  1,   0.7163
"Gobierno","1950-54 / 1955-59",   12.418,  1,   0.0004
"Gobierno","1955-59 / 1960-64",    2.601,  1,   0.1068
"Gobierno","1960-64 / 1965-69",    0.767,  1,   0.3811
"Gobierno","1965-69 / 1970-74",    0.619,  1,   0.4312
"Gobierno","1970-74 / 1975-79",    5.504,  1,   0.0190
"Gobierno","1975-79 / 1980-84",    1.077,  1,   0.2993
"Gobierno","1980-84 / 1985-89",   10.067,  1,   0.0015
"Gobierno","1985-89 / 1990-94",    0.211,  1,   0.6460
"Gobierno","1990-94 / 1995-99",   10.661,  1,   0.0011
"Gobierno","1995-99 / 2000-04",   10.590,  1,   0.0011
"Gobierno","2000-04 / 2005-07",    0.013,  1,   0.9106
"Parlamento","≤1944 / 1945-49",    5.474,  1,   0.0193
"Parlamento","1945-49 / 1950-54",    0.481,  1,   0.4880
"Parlamento","1950-54 / 1955-59",    8.063,  1,   0.0045
"Parlamento","1955-59 / 1960-64",    1.618,  1,   0.2033
"Parlamento","1960-64 / 1965-69",    0.116,  1,   0.7332
"Parlamento","1965-69 / 1970-74",    3.256,  1,   0.0711
"Parlamento","1970-74 / 1975-79",   16.769,  1,   0.0000
"Parlamento","1975-79 / 1980-84",    0.425,  1,   0.5144
"Parlamento","1980-84 / 1985-89",    9.636,  1,   0.0019
"Parlamento","1985-89 / 1990-94",    0.620,  1,   0.4310
"Parlamento","1990-94 / 1995-99",   14.177,  1,   0.0002
"Parlamento","1995-99 / 2000-04",   11.588,  1,   0.0007
"Parlamento","2000-04 / 2005-07",    8.886,  1,   0.0029
"Partidos","≤1944 / 1945-49",    2.276,  1,   0.1314
"Partidos","1945-49 / 1950-54",    3.414,  1,   0.0647
"Partidos","1950-54 / 1955-59",    1.781,  1,   0.1820
"Partidos","1955-59 / 1960-64",    2.188,  1,   0.1390
"Partidos","1960-64 / 1965-69",    0.498,  1,   0.4804
"Partidos","1965-69 / 1970-74",    4.046,  1,   0.0443
"Partidos","1970-74 / 1975-79",   14.428,  1,   0.0001
"Partidos","1975-79 / 1980-84",    0.000,  1,   0.9937
"Partidos","1980-84 / 1985-89",    3.893,  1,   0.0485
"Partidos","1985-89 / 1990-94",    0.321,  1,   0.5711
"Partidos","1990-94 / 1995-99",   21.393,  1,   0.0000
"Partidos","1995-99 / 2000-04",   15.682,  1,   0.0001
"Partidos","2000-04 / 2005-07",    2.493,  1,   0.1144
"FF.AA.","≤1944 / 1945-49",    1.146,  1,   0.2844
"FF.AA.","1945-49 / 1950-54",    3.469,  1,   0.0625
"FF.AA.","1950-54 / 1955-59",    0.023,  1,   0.8782
"FF.AA.","1955-59 / 1960-64",    0.842,  1,   0.3589
"FF.AA.","1960-64 / 1965-69",    0.009,  1,   0.9253
"FF.AA.","1965-69 / 1970-74",    6.665,  1,   0.0098
"FF.AA.","1970-74 / 1975-79",    2.279,  1,   0.1312
"FF.AA.","1975-79 / 1980-84",    2.061,  1,   0.1511
"FF.AA.","1980-84 / 1985-89",    0.001,  1,   0.9754
"FF.AA.","1985-89 / 1990-94",    0.093,  1,   0.7609
"FF.AA.","1990-94 / 1995-99",   27.133,  1,   0.0000
"FF.AA.","1995-99 / 2000-04",    1.405,  1,   0.2358
"FF.AA.","2000-04 / 2005-07",    0.559,  1,   0.4547
"Iglesia","≤1944 / 1945-49",    3.209,  1,   0.0732
"Iglesia","1945-49 / 1950-54",    0.109,  1,   0.7411
"Iglesia","1950-54 / 1955-59",    0.029,  1,   0.8637
"Iglesia","1955-59 / 1960-64",    0.181,  1,   0.6701
"Iglesia","1960-64 / 1965-69",    0.000,  1,   0.9847
"Iglesia","1965-69 / 1970-74",    0.421,  1,   0.5162
"Iglesia","1970-74 / 1975-79",    5.420,  1,   0.0199
"Iglesia","1975-79 / 1980-84",    0.035,  1,   0.8510
"Iglesia","1980-84 / 1985-89",    0.500,  1,   0.4796
"Iglesia","1985-89 / 1990-94",    0.345,  1,   0.5568
"Iglesia","1990-94 / 1995-99",    1.866,  1,   0.1719
"Iglesia","1995-99 / 2000-04",    2.857,  1,   0.0910
"Iglesia","2000-04 / 2005-07",    0.123,  1,   0.7263
